City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Ushuaia,-54.8,-68.3,44.26,65,20,4.61,AR,few clouds
80,Lagoa,39.05,-27.9833,71.17,73,4,10.94,PT,clear sky
81,Bluff,-46.6,168.3333,49.15,77,84,23.87,NZ,broken clouds
82,Victoria,22.2855,114.1577,84.38,64,100,15.99,HK,overcast clouds
83,Valparaiso,-33.0393,-71.6273,61.0,83,0,12.93,CL,clear sky
84,Tamiahua,21.2667,-97.45,88.5,60,99,9.35,MX,overcast clouds
85,Asfi,32.2994,-9.2372,73.29,71,100,17.16,MA,overcast clouds
86,Apatity,67.5641,33.4031,42.53,90,100,11.65,RU,light rain
87,Aklavik,68.2191,-135.0107,63.72,46,13,3.67,CA,few clouds
88,Castro,-24.7911,-50.0119,75.2,45,6,10.38,BR,clear sky
89,Mapastepec,15.4333,-92.9,84.88,78,100,4.0,MX,overcast clouds
90,Avarua,-21.2078,-159.775,77.05,88,75,6.91,CK,broken clouds
91,Mikuni,36.2171,136.1519,72.28,94,100,1.01,JP,overcast clouds
92,Lorengau,-2.0226,147.2712,80.46,76,46,7.14,PG,scattered clouds
93,Katsuura,35.1333,140.3,75.11,90,91,8.55,JP,overcast clouds
94,Lebu,-37.6167,-73.65,53.02,74,6,19.08,CL,clear sky
95,Chingirlau,51.095,54.0814,71.65,58,5,13.44,KZ,clear sky
96,Maunabo,18.0072,-65.8993,89.69,71,0,13.76,PR,clear sky
97,Mana,5.6592,-53.7767,85.66,69,85,14.0,GF,overcast clouds
98,Jiuquan,39.7432,98.5174,66.2,28,28,7.85,CN,scattered clouds
99,Waingapu,-9.6567,120.2641,76.46,86,32,8.1,ID,scattered clouds
100,Yulara,-25.2406,130.9889,51.64,45,69,13.33,AU,broken clouds
101,Muros,42.7762,-9.0603,70.68,59,0,11.5,ES,clear sky
102,Port Hedland,-20.3167,118.5667,71.65,94,100,6.91,AU,overcast clouds
103,Cidreira,-30.1811,-50.2056,61.09,84,100,12.84,BR,overcast clouds
104,Busselton,-33.65,115.3333,58.82,55,100,17.0,AU,overcast clouds
105,New Glasgow,45.5834,-62.6486,66.78,49,12,12.37,CA,few clouds
106,Mount Gambier,-37.8333,140.7667,39.11,100,40,5.75,AU,scattered clouds
107,Gorkovskiy,45.6542,41.199,74.95,42,0,12.37,RU,clear sky
108,Tevaitoa,-16.7833,-151.5,78.58,68,0,20.76,PF,clear sky
109,Beidao,34.5686,105.8933,61.57,88,100,2.24,CN,light rain
110,Cherskiy,68.75,161.3,41.83,90,100,7.96,RU,light rain
111,Nizhniy Tsasuchey,50.5167,115.1333,57.2,57,100,3.65,RU,overcast clouds
112,Nucsoara,45.3333,24.7833,56.39,98,100,1.61,RO,light rain
113,Garden City,42.3256,-83.331,87.19,43,100,1.99,US,overcast clouds
114,Husavik,66.0449,-17.3389,53.65,86,41,4.74,IS,scattered clouds
115,San Vicente,-26.6167,-54.1333,63.23,94,94,5.12,AR,overcast clouds
116,La Ronge,55.1001,-105.2842,65.55,47,7,1.9,CA,clear sky
117,San Rafael,-34.6177,-68.3301,65.01,16,0,11.83,AR,clear sky
118,Caravelas,-17.7125,-39.2481,73.49,63,92,6.31,BR,overcast clouds
119,Chake Chake,-5.2459,39.7666,72.91,82,59,13.98,TZ,broken clouds
120,Kotido,2.9806,34.1331,75.02,54,77,1.1,UG,broken clouds
